pl_name,hostname,sys_name,discoverymethod,disc_year,pl_rade,pl_bmasse,sy_dist,disc_facility
Kepler-1783 b,Kepler-1783,Kepler-1783,Transit,2021,1.319,2.3,264.078,Kepler
Kepler-1784 b,Kepler-1784,Kepler-1784,Transit,2021,2.799,8.24,883.045,Kepler
Kepler-1785 b,Kepler-1785,Kepler-1785,Transit,2021,2.704,7.77,745.74,Kepler
Kepler-1786 b,Kepler-1786,Kepler-1786,Transit,2021,3.163,10.1,863.909,Kepler
Kepler-1787 b,Kepler-1787,Kepler-1787,Transit,2021,2.319,5.99,778.602,Kepler
Kepler-1788 b,Kepler-1788,Kepler-1788,Transit,2021,2.379,6.25,560.445,Kepler
Kepler-1789 b,Kepler-1789,Kepler-1789,Transit,2021,2.831,8.4,611.461,Kepler
Kepler-1790 b,Kepler-1790,Kepler-1790,Transit,2021,3.145,10,1070.17,Kepler
Kepler-1791 b,Kepler-1791,Kepler-1791,Transit,2021,3.121,9.91,602.218,Kepler
Kepler-1792 b,Kepler-1792,Kepler-1792,Transit,2021,2.52,6.89,601.029,Kepler
Kepler-1793 b,Kepler-1793,Kepler-1793,Transit,2021,3.79,13.8,1189.88,Kepler
Kepler-1794 b,Kepler-1794,Kepler-1794,Transit,2021,1.794,3.87,561.229,Kepler
Kepler-1795 b,Kepler-1795,Kepler-1795,Transit,2021,1.663,3.4,,Kepler
Kepler-1796 b,Kepler-1796,Kepler-1796,Transit,2021,2.75,8,825.883,Kepler
Kepler-1797 b,Kepler-1797,Kepler-1797,Transit,2021,3.058,9.58,1338.49,Kepler
Kepler-1798 b,Kepler-1798,Kepler-1798,Transit,2021,2.309,5.94,395.196,Kepler
Kepler-1799 b,Kepler-1799,Kepler-1799,Transit,2021,4.128,15.9,2254.69,Kepler
Kepler-1800 b,Kepler-1800,Kepler-1800,Transit,2021,0.997,0.961,350.455,Kepler
Kepler-1801 b,Kepler-1801,Kepler-1801,Transit,2021,2.709,7.8,839.332,Kepler
Kepler-1804 b,Kepler-1804,Kepler-1804,Transit,2021,1.596,3.18,434.456,Kepler
Kepler-1805 b,Kepler-1805,Kepler-1805,Transit,2021,1.545,3,221.639,Kepler
Kepler-1806 b,Kepler-1806,Kepler-1806,Transit,2021,2.356,6.15,978.066,Kepler
Kepler-1807 b,Kepler-1807,Kepler-1807,Transit,2021,2.704,7.77,1299.32,Kepler
Kepler-1808 b,Kepler-1808,Kepler-1808,Transit,2021,3.025,9.4,1022.01,Kepler
Kepler-1809 b,Kepler-1809,Kepler-1809,Transit,2021,1.513,2.9,409.602,Kepler
Kepler-1810 b,Kepler-1810,Kepler-1810,Transit,2021,3.918,14.6,1009.87,Kepler
Kepler-1811 b,Kepler-1811,Kepler-1811,Transit,2021,3.848,14.1,1390.56,Kepler
Kepler-1812 b,Kepler-1812,Kepler-1812,Transit,2021,2.325,6.01,1409.19,Kepler
Kepler-1813 b,Kepler-1813,Kepler-1813,Transit,2021,1.413,2.58,,Kepler
Kepler-1814 b,Kepler-1814,Kepler-1814,Transit,2021,2.37,6.21,726.346,Kepler
Kepler-1815 b,Kepler-1815,Kepler-1815,Transit,2021,2.749,7.99,1006.63,Kepler
Kepler-1816 b,Kepler-1816,Kepler-1816,Transit,2021,1.968,4.53,437.823,Kepler
Kepler-1817 b,Kepler-1817,Kepler-1817,Transit,2021,2.273,5.79,748.569,Kepler
Kepler-1818 b,Kepler-1818,Kepler-1818,Transit,2021,1.714,3.58,1034.59,Kepler
Kepler-1819 b,Kepler-1819,Kepler-1819,Transit,2021,3.904,14.5,1363.19,Kepler
Kepler-1820 b,Kepler-1820,Kepler-1820,Transit,2021,3.119,9.9,1425.39,Kepler
Kepler-1821 b,Kepler-1821,Kepler-1821,Transit,2021,2.592,7.24,799.699,Kepler
Kepler-1822 b,Kepler-1822,Kepler-1822,Transit,2021,2.648,7.5,897.597,Kepler
Kepler-1823 b,Kepler-1823,Kepler-1823,Transit,2021,2.086,5,724.971,Kepler
Kepler-1824 b,Kepler-1824,Kepler-1824,Transit,2021,2.381,6.26,1040.1,Kepler
Kepler-1825 b,Kepler-1825,Kepler-1825,Transit,2021,1.422,2.61,430.254,Kepler
Kepler-1826 b,Kepler-1826,Kepler-1826,Transit,2021,1.475,2.78,336.952,Kepler
Kepler-1827 b,Kepler-1827,Kepler-1827,Transit,2021,1.856,4.1,686.461,Kepler
Kepler-1828 b,Kepler-1828,Kepler-1828,Transit,2021,2.116,5.13,871.81,Kepler
Kepler-1829 b,Kepler-1829,Kepler-1829,Transit,2021,2.479,6.71,679.921,Kepler
Kepler-1830 b,Kepler-1830,Kepler-1830,Transit,2021,3.33,11.1,1056.88,Kepler
Kepler-1831 b,Kepler-1831,Kepler-1831,Transit,2021,1.97,4.54,1053.49,Kepler
Kepler-1832 b,Kepler-1832,Kepler-1832,Transit,2021,1.227,2.02,486.174,Kepler
Kepler-1833 b,Kepler-1833,Kepler-1833,Transit,2021,1.3,2.24,591.602,Kepler
Kepler-1834 b,Kepler-1834,Kepler-1834,Transit,2021,1.459,2.73,500.395,Kepler
Kepler-1835 b,Kepler-1835,Kepler-1835,Transit,2021,3.534,12.2,1404.38,Kepler
Kepler-1836 b,Kepler-1836,Kepler-1836,Transit,2021,2.553,7.05,1472.62,Kepler
Kepler-1837 b,Kepler-1837,Kepler-1837,Transit,2021,2.067,4.92,1229.18,Kepler
Kepler-1838 b,Kepler-1838,Kepler-1838,Transit,2021,1.66,3.4,451.242,Kepler
Kepler-1839 b,Kepler-1839,Kepler-1839,Transit,2021,1.949,4.46,1136.6,Kepler
Kepler-1840 b,Kepler-1840,Kepler-1840,Transit,2021,2.778,8.13,513.107,Kepler
Kepler-1841 b,Kepler-1841,Kepler-1841,Transit,2021,1.489,2.82,631.7,Kepler
Kepler-1842 b,Kepler-1842,Kepler-1842,Transit,2021,2.354,6.14,923.551,Kepler
Kepler-1843 b,Kepler-1843,Kepler-1843,Transit,2021,2.709,7.8,784.625,Kepler
Kepler-1844 b,Kepler-1844,Kepler-1844,Transit,2021,3.036,9.46,1804.36,Kepler
Kepler-1845 b,Kepler-1845,Kepler-1845,Transit,2021,2.438,6.52,710.724,Kepler
Kepler-1846 b,Kepler-1846,Kepler-1846,Transit,2021,1.764,3.76,374.615,Kepler
Kepler-1847 b,Kepler-1847,Kepler-1847,Transit,2021,2.745,7.97,1693.86,Kepler
Kepler-1848 b,Kepler-1848,Kepler-1848,Transit,2021,1.409,2.57,309.696,Kepler
Kepler-1849 b,Kepler-1849,Kepler-1849,Transit,2021,2.387,6.29,631.884,Kepler
Kepler-1850 b,Kepler-1850,Kepler-1850,Transit,2021,0.729,0.313,250.199,Kepler
Kepler-1851 b,Kepler-1851,Kepler-1851,Transit,2021,3.9,14.5,1589.81,Kepler
Kepler-1852 b,Kepler-1852,Kepler-1852,Transit,2021,1.886,4.22,772.481,Kepler
Kepler-1853 b,Kepler-1853,Kepler-1853,Transit,2021,1.519,2.92,562.348,Kepler
Kepler-1854 b,Kepler-1854,Kepler-1854,Transit,2021,2.587,7.21,423.348,Kepler
Kepler-1855 b,Kepler-1855,Kepler-1855,Transit,2021,1.216,1.96,,Kepler
Kepler-1856 b,Kepler-1856,Kepler-1856,Transit,2021,1.734,3.66,848.76,Kepler
Kepler-1857 b,Kepler-1857,Kepler-1857,Transit,2021,1.961,4.5,853.275,Kepler
Kepler-1858 b,Kepler-1858,Kepler-1858,Transit,2021,2.422,6.44,833.055,Kepler
Kepler-1859 b,Kepler-1859,Kepler-1859,Transit,2021,1.583,3.13,1331.25,Kepler
Kepler-1860 b,Kepler-1860,Kepler-1860,Transit,2021,1.139,1.55,438.703,Kepler
Kepler-1861 b,Kepler-1861,Kepler-1861,Transit,2021,2.207,5.5,829.985,Kepler
Kepler-1862 b,Kepler-1862,Kepler-1862,Transit,2021,2.203,5.49,1232.19,Kepler
Kepler-1863 b,Kepler-1863,Kepler-1863,Transit,2021,2.263,5.74,865.546,Kepler
Kepler-1864 b,Kepler-1864,Kepler-1864,Transit,2021,0.754,0.353,298.894,Kepler
Kepler-1865 b,Kepler-1865,Kepler-1865,Transit,2021,1.577,3.11,922.255,Kepler
Kepler-1866 b,Kepler-1866,Kepler-1866,Transit,2021,2.082,4.99,976.737,Kepler
Kepler-1867 b,Kepler-1867,Kepler-1867,Transit,2021,1.16,1.65,680.583,Kepler
Kepler-1868 b,Kepler-1868,Kepler-1868,Transit,2021,3.15,10.1,274.18,Kepler
Kepler-1869 b,Kepler-1869,Kepler-1869,Transit,2021,1.12,1.46,113.025,Kepler
Kepler-1870 b,Kepler-1870,Kepler-1870,Transit,2021,2.101,5.07,407.216,Kepler
Kepler-1871 b,Kepler-1871,Kepler-1871,Transit,2021,2.422,6.44,854.623,Kepler
Kepler-1872 b,Kepler-1872,Kepler-1872,Transit,2021,2.384,6.28,840.182,Kepler
Kepler-1873 b,Kepler-1873,Kepler-1873,Transit,2021,1.626,3.28,820.957,Kepler
